Word,Relative_Frequency,User_Created,Times_Selected,Frequency
book,0.006346131,,0,"6,893,942"
enough,0.006330627,,0,"6,877,100"
getting,0.006305745,,0,"6,850,070"
week,0.006294445,,0,"6,837,795"
power,0.006283127,,0,"6,825,500"
until,0.006279217,,0,"6,821,252"
market,0.006278657,,0,"6,820,644"
fact,0.006253933,,0,"6,793,786"
god,0.006187566,,0,"6,721,690"
food,0.006164898,,0,"6,697,065"
students,0.006161501,,0,"6,693,375"
full,0.006154503,,0,"6,685,773"
women,0.00612685,,0,"6,655,732"
community,0.006120878,,0,"6,649,245"
name,0.006108613,,0,"6,635,921"
second,0.00610273,,0,"6,629,530"
data,0.005978432,,0,"6,494,503"
government,0.005977773,,0,"6,493,787"
says,0.005941346,,0,"6,454,215"
others,0.005934049,,0,"6,446,289"
ever,0.005916872,,0,"6,427,629"
yet,0.005885271,,0,"6,393,300"
research,0.005876458,,0,"6,383,726"
done,0.005838543,,0,"6,342,538"
left,0.005834386,,0,"6,338,022"
far,0.005766974,,0,"6,264,791"
large,0.005755556,,0,"6,252,388"
called,0.005735066,,0,"6,230,129"
doing,0.005722237,,0,"6,216,192"
already,0.005715668,,0,"6,209,056"
development,0.005709765,,0,"6,202,644"
social,0.005663583,,0,"6,152,475"
open,0.005658645,,0,"6,147,111"
possible,0.005594526,,0,"6,077,457"
side,0.005582262,,0,"6,064,135"
play,0.005526169,,0,"6,003,199"
means,0.005508229,,0,"5,983,711"
needs,0.005494563,,0,"5,968,865"
try,0.005473029,,0,"5,945,472"
came,0.00547094,,0,"5,943,203"
ca,0.005460588,,0,"5,931,957"
based,0.005415248,,0,"5,882,703"
hard,0.005406588,,0,"5,873,296"
thought,0.005390601,,0,"5,855,929"
products,0.005382203,,0,"5,846,806"
national,0.005361168,,0,"5,823,955"
quality,0.005335072,,0,"5,795,607"
level,0.005327564,,0,"5,787,450"
live,0.005307148,,0,"5,765,272"
design,0.005287279,,0,"5,743,688"
makes,0.005275891,,0,"5,731,317"
project,0.005252999,,0,"5,706,449"
line,0.005209809,,0,"5,659,531"
night,0.005198831,,0,"5,647,605"
least,0.005193715,,0,"5,642,047"
whether,0.005175288,,0,"5,622,030"
job,0.005161912,,0,"5,607,499"
car,0.005160728,,0,"5,606,213"
example,0.005160722,,0,"5,606,206"
include,0.005135126,,0,"5,578,401"
following,0.005121257,,0,"5,563,335"
given,0.00512083,,0,"5,562,871"
website,0.005084624,,0,"5,523,539"
past,0.005082648,,0,"5,521,393"
plan,0.005077115,,0,"5,515,382"
offer,0.0050761,,0,"5,514,280"
buy,0.005069136,,0,"5,506,714"
call,0.005067112,,0,"5,504,516"
went,0.005044605,,0,"5,480,066"
simply,0.005021262,,0,"5,454,708"
hand,0.005016859,,0,"5,449,925"
music,0.00501013,,0,"5,442,615"
easy,0.004988765,,0,"5,419,406"
problem,0.004974051,,0,"5,403,421"
men,0.004966138,,0,"5,394,825"
country,0.004958446,,0,"5,386,469"
took,0.004950396,,0,"5,377,725"
four,0.004950385,,0,"5,377,713"
members,0.004941637,,0,"5,368,209"
form,0.004928591,,0,"5,354,037"
personal,0.004924748,,0,"5,349,863"
control,0.004909741,,0,"5,333,560"
energy,0.004898759,,0,"5,321,630"
room,0.00488826,,0,"5,310,225"
head,0.004865312,,0,"5,285,296"
pay,0.0048336,,0,"5,250,846"
create,0.004815438,,0,"5,231,117"
run,0.004814958,,0,"5,230,595"
kind,0.004810281,,0,"5,225,514"
credit,0.004808344,,0,"5,223,410"
almost,0.004793622,,0,"5,207,417"
believe,0.004756818,,0,"5,167,436"
quite,0.004754114,,0,"5,164,499"
mind,0.004742009,,0,"5,151,349"
law,0.004738478,,0,"5,147,513"
early,0.004736003,,0,"5,144,825"
comes,0.004729745,,0,"5,138,026"
states,0.004728896,,0,"5,137,104"
usually,0.004724274,,0,"5,132,083"
companies,0.004719355,,0,"5,126,740"
web,0.004707549,,0,"5,113,914"
taking,0.004692202,,0,"5,097,243"
started,0.004690417,,0,"5,095,304"
later,0.004688361,,0,"5,093,070"
although,0.004681048,,0,"5,085,126"
story,0.004679345,,0,"5,083,276"
per,0.004673768,,0,"5,077,217"
future,0.004671653,,0,"5,074,920"
known,0.004663393,,0,"5,065,947"
someone,0.004658974,,0,"5,061,146"
across,0.004623375,,0,"5,022,474"
rather,0.00462187,,0,"5,020,839"
young,0.004607165,,0,"5,004,865"
whole,0.004604624,,0,"5,002,105"
special,0.004596942,,0,"4,993,760"
everything,0.004588924,,0,"4,985,049"
months,0.004577562,,0,"4,972,707"
anything,0.004571059,,0,"4,965,642"
training,0.004567693,,0,"4,961,986"
url,0.004563171,,0,"4,957,073"
bit,0.004547771,,0,"4,940,344"
seen,0.004543768,,0,"4,935,996"
product,0.004537823,,0,"4,929,537"
american,0.004528007,,0,"4,918,874"
please,0.004517805,,0,"4,907,791"
management,0.004516753,,0,"4,906,649"
cost,0.004512478,,0,"4,902,004"
either,0.004501842,,0,"4,890,450"
light,0.004499026,,0,"4,887,391"
university,0.004459612,,0,"4,844,575"
face,0.00445193,,0,"4,836,230"
due,0.004450411,,0,"4,834,580"
nothing,0.004439217,,0,"4,822,420"
human,0.004435846,,0,"4,818,757"
event,0.004417275,,0,"4,798,583"
history,0.004410302,,0,"4,791,009"
probably,0.004401512,,0,"4,781,460"
friends,0.004381377,,0,"4,759,587"
learn,0.00437454,,0,"4,752,159"
current,0.004370843,,0,"4,748,143"
tell,0.004368893,,0,"4,746,025"
general,0.004367256,,0,"4,744,247"
price,0.004366457,,0,"4,743,379"
list,0.004358456,,0,"4,734,687"
type,0.004340035,,0,"4,714,676"
building,0.004338157,,0,"4,712,636"
industry,0.004322566,,0,"4,695,699"
bad,0.004311842,,0,"4,684,049"
check,0.004300621,,0,"4,671,860"
everyone,0.004277365,,0,"4,646,596"
office,0.004276917,,0,"4,646,109"
idea,0.004268863,,0,"4,637,360"
internet,0.004267543,,0,"4,635,926"
news,0.004262265,,0,"4,630,193"
million,0.004255836,,0,"4,623,209"
video,0.004252407,,0,"4,619,484"
among,0.004245281,,0,"4,611,742"
air,0.004238642,,0,"4,604,530"
especially,0.004232562,,0,"4,597,926"
told,0.004229136,,0,"4,594,204"
results,0.004203913,,0,"4,566,804"
post,0.004197475,,0,"4,559,810"
hours,0.004190101,,0,"4,551,799"
international,0.004177068,,0,"4,537,641"
center,0.004176213,,0,"4,536,712"
understand,0.00417008,,0,"4,530,050"
above,0.004165329,,0,"4,524,889"
addition,0.004152347,,0,"4,510,786"
major,0.004151564,,0,"4,509,936"
education,0.004137966,,0,"4,495,164"
white,0.004135756,,0,"4,492,763"
particular,0.004132718,,0,"4,489,463"
problems,0.004124038,,0,"4,480,034"
media,0.004110275,,0,"4,465,083"
according,0.004105156,,0,"4,459,522"
upon,0.004098871,,0,"4,452,694"
page,0.004095148,,0,"4,448,650"
continue,0.004086468,,0,"4,439,220"
black,0.004084621,,0,"4,437,214"
study,0.004081577,,0,"4,433,907"
issues,0.004081484,,0,"4,433,806"
inside,0.004080142,,0,"4,432,348"
technology,0.004066287,,0,"4,417,297"
five,0.004065837,,0,"4,416,809"
value,0.004060537,,0,"4,411,051"
further,0.004041748,,0,"4,390,640"
access,0.004040187,,0,"4,388,944"
reason,0.004037292,,0,"4,385,799"
short,0.004028329,,0,"4,376,063"
TRUE,0.004022876,,0,"4,370,139"
simple,0.004020441,,0,"4,367,494"
natural,0.004003868,,0,"4,349,490"
amount,0.003966222,,0,"4,308,595"
search,0.00393928,,0,"4,279,327"
result,0.003929344,,0,"4,268,533"
taken,0.003928337,,0,"4,267,439"
main,0.00391997,,0,"4,258,350"
heart,0.003901337,,0,"4,238,109"
space,0.003886602,,0,"4,222,102"
financial,0.003884556,,0,"4,219,879"
ago,0.003874603,,0,"4,209,067"
trying,0.003874553,,0,"4,209,012"
question,0.003868689,,0,"4,202,642"
living,0.003867182,,0,"4,201,005"
likely,0.003866967,,0,"4,200,772"
interest,0.003863154,,0,"4,196,629"
various,0.003851916,,0,"4,184,421"
insurance,0.003841268,,0,"4,172,854"
common,0.00382752,,0,"4,157,919"
move,0.0038224,,0,"4,152,358"
child,0.003819055,,0,"4,148,724"
yourself,0.003804976,,0,"4,133,429"
report,0.003800174,,0,"4,128,213"
certain,0.003793335,,0,"4,120,784"
share,0.003787707,,0,"4,114,670"
single,0.003779952,,0,"4,106,245"
close,0.003776591,,0,"4,102,594"
instead,0.003774011,,0,"4,099,791"
bring,0.003773246,,0,"4,098,961"
works,0.003771924,,0,"4,097,524"
age,0.00374823,,0,"4,071,785"
s,0.003737589,,0,"4,060,226"
season,0.003736344,,0,"4,058,873"
hope,0.003732157,,0,"4,054,325"
coming,0.003728084,,0,"4,049,900"
areas,0.003714245,,0,"4,034,866"
ask,0.003712147,,0,"4,032,587"
medical,0.003705562,,0,"4,025,434"
low,0.003700976,,0,"4,020,452"
games,0.003697705,,0,"4,016,899"
turn,0.003688265,,0,"4,006,644"
key,0.003685084,,0,"4,003,188"
party,0.003670358,,0,"3,987,191"
add,0.003659625,,0,"3,975,531"
month,0.003658626,,0,"3,974,446"
seems,0.00365547,,0,"3,971,018"
view,0.003648194,,0,"3,963,114"
fun,0.003644902,,0,"3,959,538"
matter,0.003634039,,0,"3,947,737"
words,0.003627054,,0,"3,940,149"
needed,0.003624693,,0,"3,937,584"
